Data,Manaus,Itacoatiara,Iquitos,Tabatinga,Stº. Ant. Içá,Coari
01/01/2020,22.87,9.10,,11.43,,13.90
02/01/2020,22.99,9.19,,11.48,,13.96
03/01/2020,23.06,9.28,,11.53,,14.03
04/01/2020,23.12,9.30,,11.58,,14.08
05/01/2020,23.18,9.41,,11.63,,14.14
06/01/2020,23.25,9.48,,11.65,,14.19
07/01/2020,23.32,9.53,,11.67,,14.22
08/01/2020,23.38,9.61,,11.67,,14.28
09/01/2020,23.43,9.68,,11.67,,14.33
10/01/2020,23.50,9.75,,11.68,,14.38
11/01/2020,23.56,9.83,,11.70,,14.42
12/01/2020,23.63,9.90,,11.72,,14.46
13/01/2020,23.70,9.97,,11.74,,14.50
14/01/2020,23.78,10.04,,11.75,,14.54
15/01/2020,23.86,10.08,,11.75,,14.58
16/01/2020,23.95,10.14,,11.74,,14.61
17/01/2020,24.06,10.19,,11.70,,14.66
18/01/2020,24.09,10.22,,11.72,,14.69
19/01/2020,24.12,10.24,,11.72,,14.71
20/01/2020,24.16,10.33,,11.68,,14.73
21/01/2020,24.20,10.38,,11.62,,14.76
22/01/2020,24.26,10.43,,11.56,,14.84
23/01/2020,24.32,10.44,,11.49,,14.86
24/01/2020,24.36,10.44,,11.43,,14.88
25/01/2020,24.40,10.46,,11.40,,14.90
26/01/2020,24.43,10.49,,11.35,,14.92
27/01/2020,24.46,10.50,,11.30,,14.94
28/01/2020,24.51,10.53,,11.27,,14.98
29/01/2020,24.53,10.54,,11.23,,15.07
30/01/2020,24.54,10.54,,11.20,,15.10
31/01/2020,24.55,10.55,,10.80,,15.11
01/02/2020,24.56,10.56,,10.69,,15.12
02/02/2020,24.57,10.56,,10.70,,15.14
03/02/2020,24.59,10.58,,10.66,,15.14
04/02/2020,24.60,10.57,,10.62,,15.14
05/02/2020,24.61,10.58,,10.50,,15.14
06/02/2020,24.62,10.58,,10.52,,15.12
07/02/2020,24.62,10.58,,10.46,,15.12
08/02/2020,24.62,10.59,,10.46,,15.12
09/02/2020,24.61,10.59,,10.42,,15.12
10/02/2020,24.59,10.60,,10.43,,15.10
11/02/2020,24.56,10.55,,10.38,,15.08
12/02/2020,24.54,10.59,,10.32,,15.10
13/02/2020,24.54,10.61,,10.23,,15.10
14/02/2020,24.55,10.63,,10.19,,15.10
15/02/2020,24.56,10.67,,10.10,,15.10
16/02/2020,24.58,10.68,,10.02,,15.10
